subnum,group,session,tod,block,trial,targ,foil,studytime,rt,order,resp,corr
222,A,1,1,1,32,0011000001011111011101000,0011000101011111011100000,1006,2021,1,<rshift>,0
222,A,1,1,1,33,0101101111010110001010100,0101101111010110010010100,1005,1812,0,<lshift>,0
222,A,1,1,1,34,0001011011101001111001001,0001011011101011111000001,1006,1477,0,<lshift>,0
222,A,1,1,1,35,0111110010000101101001010,0111100010000111101001010,1006,1309,0,<rshift>,1
222,A,2,2,1,1,0111001011101100001100011,0111001011101100000101011,1006,1190,1,<lshift>,1
222,A,2,2,1,2,0011100010110011101001000,1011100010010011101001000,1006,3058,0,<rshift>,1
222,A,2,2,1,3,0010111001111010001000011,0001111001111010001000011,1004,1190,0,<rshift>,1
222,A,2,2,1,4,0100001100011010111101000,0100001100011010011101001,1006,924,0,<rshift>,1
222,A,2,2,1,5,1000000111100001011110001,1000000111100010011110001,1006,2078,1,<lshift>,1
222,A,2,2,1,6,0011110000110110001101000,0011110000111110001100000,1006,851,0,<rshift>,1
222,A,2,2,1,7,1111111010001000010110001,1110111110001000010110001,1005,1076,1,<lshift>,1
222,A,2,2,1,8,0100010001011010101010110,0100010001011011101000110,1005,3365,0,<rshift>,1
222,A,2,2,1,9,1000001001101100010101110,1100001001101100000101110,1005,1195,1,<lshift>,1
222,A,2,2,1,10,1100010001000101101011111,1000011001000101101011111,1004,1389,0,<lshift>,0
222,A,2,2,1,11,1111001001100010100000011,1111000001100010110000011,1006,1133,0,<rshift>,1
222,A,2,2,1,12,1011101000010001101010001,1001101001010001101010001,1006,2262,0,<rshift>,1
222,A,2,2,1,13,1100010011111110001010001,1100010011111110001010010,1005,1435,0,<rshift>,1
222,A,2,2,1,14,1101100110110110010010010,0111100110110110010010010,1005,916,0,<rshift>,1
222,A,2,2,1,15,1000100110000101110110011,1000100110001101100110011,1006,1444,0,<rshift>,1
222,A,2,2,1,16,0110110011100110100000001,0110110010101110100000001,1006,789,0,<rshift>,1
222,A,2,2,1,17,1010101010001000111100011,1010101010000100111100011,1006,998,0,<rshift>,1
222,A,2,2,1,18,1000100001010001111101001,1000100101010000111101001,1006,1420,0,<rshift>,1
222,A,2,2,1,19,0110110010011011110011000,0111010010011011110011000,1005,908,0,<rshift>,1
222,A,2,2,1,20,0001010000100111001100111,0001010000101011001100111,1006,885,0,<lshift>,0
222,A,2,2,1,21,1001010100111100101011010,1001010100110100101111010,1005,1003,1,<lshift>,1
222,A,2,2,1,22,0101100101010000101101011,0101100101010100101001011,1006,1191,1,<lshift>,1
222,A,2,2,1,23,0110001111110000011001100,0010001111110000011001110,1006,893,1,<lshift>,1
222,A,2,2,1,24,0101011001011001100000110,1101011001011001100000010,1006,916,0,<rshift>,1
222,A,2,2,1,25,1010001101001111001100110,1110001101001110001100110,1006,900,1,<rshift>,0
222,A,2,2,1,26,0101110001101010110000111,0101010011101010110000111,1006,890,0,<rshift>,1
222,A,2,2,1,27,1100110010100101110100010,1100110011100101110000010,1006,1156,0,<rshift>,1
222,A,2,2,1,28,0110010101000011111000011,0100010111000011111000011,1006,1013,1,<rshift>,0
222,A,2,2,1,29,1111101100011011100010000,1101101100011011100110000,1005,923,1,<lshift>,1
222,A,2,2,1,30,1001110011010111001100010,1001110010011111001100010,1005,854,0,<rshift>,1
222,A,2,2,1,31,1111000000001101101001011,0111000010001101101001011,1006,961,1,<lshift>,1
222,A,2,2,1,32,0001010001100010110111011,0011010001000010110111011,1006,1326,0,<rshift>,1
