subnum,trial,baseImage,stimCode,type,probeCond,probe,x,y,probeFile,clickResp,corr,time1,time2,responsetime,size,Centrality
102,3,i264,120,PRESENT,5,2,26,141,Stimuli/Probes/i264-2.png,1,1,163356,164327,971,172,143
102,4,i9,0,ABSENT,1,3,248,74,Stimuli/Probes/i9-3.png,0,1,169371,170742,1371,80,259
102,5,i9,100,ABSENT,2,2,30,45,Stimuli/Probes/i9-2.png,0,1,180868,182422,1554,104,54
102,6,i9,103,PRESENT,5,3,248,74,Stimuli/Probes/i9-3.png,1,1,187499,188446,947,80,259
102,7,i294,0,ABSENT,1,2,-237,-211,Stimuli/Probes/i294-2.png,0,1,191219,191726,507,237,317
102,8,i294,20,ABSENT,2,1,-239,260,Stimuli/Probes/i294-1.png,1,0,196419,197222,803,238,353
102,9,i294,0,ABSENT,1,1,-239,260,Stimuli/Probes/i294-1.png,0,1,200346,201125,779,238,353
102,10,i9,23,ABSENT,3,1,-234,30,Stimuli/Probes/i9-1.png,0,1,203427,204646,1219,92,236
102,11,i264,20,PRESENT,4,2,26,141,Stimuli/Probes/i264-2.png,1,1,207931,208822,891,172,143
102,12,i264,20,ABSENT,2,3,389,-8,Stimuli/Probes/i264-3.png,0,1,211596,212670,1074,161,389
102,13,i264,120,PRESENT,5,1,-264,103,Stimuli/Probes/i264-1.png,1,1,219090,220133,1043,155,283
102,14,i9,100,PRESENT,4,1,-234,30,Stimuli/Probes/i9-1.png,1,1,222834,223613,779,92,236
102,15,i294,23,ABSENT,3,1,-239,260,Stimuli/Probes/i294-1.png,1,0,225995,226869,874,238,353
102,16,i294,100,ABSENT,2,3,310,152,Stimuli/Probes/i294-3.png,0,1,230058,230900,842,259,345
102,17,i264,20,ABSENT,2,1,-264,103,Stimuli/Probes/i264-1.png,0,1,233962,234733,771,155,283
102,18,i294,3,PRESENT,4,3,310,152,Stimuli/Probes/i294-3.png,1,1,238082,239109,1027,259,345
102,19,i294,100,ABSENT,2,2,-237,-211,Stimuli/Probes/i294-2.png,0,1,247617,248324,707,237,317
102,20,i294,103,ABSENT,3,2,-237,-211,Stimuli/Probes/i294-2.png,1,0,252545,253228,683,237,317
102,21,i294,20,PRESENT,4,2,-237,-211,Stimuli/Probes/i294-2.png,1,1,256330,257260,930,237,317
102,22,i9,100,ABSENT,2,3,248,74,Stimuli/Probes/i9-3.png,0,1,259866,260852,986,80,259
102,23,i264,0,ABSENT,1,2,26,141,Stimuli/Probes/i264-2.png,0,1,263361,264092,731,172,143
102,24,i9,20,ABSENT,2,1,-234,30,Stimuli/Probes/i9-1.png,0,1,266314,267188,874,92,236
102,25,i264,0,ABSENT,1,1,-264,103,Stimuli/Probes/i264-1.png,0,1,270769,271476,707,155,283
102,26,i264,100,ABSENT,2,2,26,141,Stimuli/Probes/i264-2.png,0,1,273858,274643,785,172,143
102,27,i9,0,ABSENT,1,2,30,45,Stimuli/Probes/i9-2.png,0,1,276905,277611,706,104,54
