subject,cult,dare,fate,guess,hint,mood,oath,plea,rush,verb,zeal,time
s04,0,0,0,1,1,1,0,1,1,0,0,4.054688
s04,1,1,1,0,0,0,0,0,1,0,0,3.632813
s04,1,0,0,0,1,1,1,0,0,1,1,4.71875
s04,0,1,1,1,1,0,1,0,0,1,0,4.507813
s04,0,0,0,1,0,1,0,0,1,0,1,3.460938
s04,0,1,1,0,0,0,0,0,1,1,0,3.625
s04,1,1,0,0,0,0,1,1,0,1,0,3.90625
s04,1,0,0,1,1,0,1,1,1,0,0,4.773438
s04,0,1,1,1,1,0,0,0,1,0,0,3.789063
s04,1,0,0,0,0,1,0,1,0,0,1,3.734375
s04,1,0,1,0,0,0,1,0,0,1,1,4.28125
s04,0,0,1,1,0,0,0,1,0,1,0,3.414063
s04,1,1,1,0,0,0,1,0,1,0,0,4.179688
s04,0,1,0,1,1,1,0,0,1,1,0,3.742188
s04,0,1,0,0,1,0,1,1,0,1,0,4.171875
s04,0,0,0,0,1,0,1,0,0,0,1,3.070313
s04,0,1,0,0,0,1,0,0,1,0,1,3.070313
s04,1,0,1,1,0,0,0,1,1,0,1,2.46875
s03,1,0,0,0,0,1,0,0,0,0,1,0.3867188
s03,0,1,1,0,1,0,0,1,1,0,0,0.9921875
s03,0,0,0,0,0,1,0,1,0,1,1,0.390625
s03,1,0,0,0,1,0,0,0,1,0,0,1.589844
s03,1,1,0,1,1,0,1,0,0,0,1,0.3867188
s03,0,0,1,0,0,0,1,0,1,1,0,0.3789063
s03,0,0,1,0,0,0,1,0,0,1,0,0.3320313
s03,0,0,0,1,0,0,0,0,1,1,1,0.328125
s03,0,0,0,0,1,0,1,1,0,0,0,0.2695313
s03,0,1,0,1,0,0,0,1,0,0,0,0.328125
s03,1,0,0,0,1,1,1,0,0,1,0,0.21875
s03,0,1,1,1,0,1,1,0,1,0,0,0.21875
s03,1,1,0,0,0,1,0,1,0,0,0,0.2226563
s03,1,0,0,1,0,1,0,1,0,1,0,0.21875
s03,0,0,1,0,1,1,0,0,0,1,1,0.21875
s03,1,1,1,1,0,0,0,0,0,0,1,0.1601563
s03,1,0,0,0,0,0,0,0,1,1,0,0.1601563
s03,0,0,0,1,1,1,0,1,0,0,0,0.21875
s03,0,1,1,1,0,0,1,1,0,0,1,0.2226563
s03,0,1,1,0,0,1,1,0,1,0,0,0.21875
s03,0,0,0,0,1,1,0,0,1,0,1,0.21875
s03,0,1,0,0,1,0,1,1,0,1,1,0.21875
s03,1,1,1,1,1,0,1,0,0,0,0,0.2695313
